Invoice Date,Quarter,Financial Year,Department,Generic Name,Strength In MG,Final Country,Pharmacopoeia,Total Qty,Wastage,API Requirement in KG,Market
1-Apr-21,1,2021,Sales Team,MEROPENEM,125,INDIA,IP,216,1.41,0.03807,Tender
1-Apr-21,1,2021,Sales Team,MEROPENEM,250,INDIA,IP,72,1.41,0.02538,Tender
1-Apr-21,1,2021,Sales Team,MEROPENEM,1000,INDIA,IP,100,1.41,0.141,Tender
1-Apr-21,1,2021,Sales Team,MEROPENEM,250,INDIA,IP,24,1.41,0.00846,Tender
1-Apr-21,1,2021,Sales Team,MEROPENEM,500,INDIA,IP,24,1.41,0.01692,Tender
2-Apr-21,1,2021,Sales Team,MEROPENEM,125,INDIA,IP,150,1.41,0.02644,Tender
2-Apr-21,1,2021,Sales Team,MEROPENEM,1000,INDIA,IP,100,1.41,0.141,Tender
3-Apr-21,1,2021,Sales Team,MEROPENEM,1000,INDIA,IP,500,1.41,0.705,Tender
3-Apr-21,1,2021,Sales Team,MEROPENEM,125,INDIA,IP,60,1.41,0.01058,Tender
3-Apr-21,1,2021,Sales Team,MEROPENEM,125,INDIA,IP,204,1.41,0.03596,Tender
3-Apr-21,1,2021,Sales Team,MEROPENEM,1000,INDIA,IP,100,1.41,0.141,Tender
3-Apr-21,1,2021,Sales Team,MEROPENEM,1000,INDIA,IP,500,1.41,0.705,Tender
3-Apr-21,1,2021,Sales Team,MEROPENEM,125,INDIA,IP,72,1.41,0.01269,Tender
3-Apr-21,1,2021,Sales Team,MEROPENEM,1000,INDIA,IP,100,1.41,0.141,Tender
3-Apr-21,1,2021,Sales Team,MEROPENEM,1000,INDIA,IP,50,1.41,0.0705,Tender
3-Apr-21,1,2021,Sales Team,MEROPENEM,1000,INDIA,IP,50,1.41,0.0705,Tender
3-Apr-21,1,2021,GBU,MEROPENEM,1000,INDIA,IP,200,1.41,0.282,Tender
3-Apr-21,1,2021,GBU,MEROPENEM,1000,INDIA,IP,500,1.41,0.705,Tender
3-Apr-21,1,2021,Sales Team,MEROPENEM,1000,INDIA,IP,20,1.41,0.0282,Tender
3-Apr-21,1,2021,Sales Team,MEROPENEM,1000,INDIA,IP,20,1.41,0.0282,Tender
5-Apr-21,1,2021,GBU,MEROPENEM,1000,INDIA,IP,20,1.41,0.0282,Tender
5-Apr-21,1,2021,GBU,MEROPENEM,1000,INDIA,IP,10,1.41,0.0141,Tender
5-Apr-21,1,2021,GBU,MEROPENEM,1000,INDIA,IP,100,1.41,0.141,Tender
5-Apr-21,1,2021,Sales Team,MEROPENEM,1000,INDIA,IP,500,1.41,0.705,Tender
5-Apr-21,1,2021,Sales Team,MEROPENEM,1000,INDIA,IP,1120,1.41,1.5792,Tender
6-Apr-21,1,2021,GBU,MEROPENEM,1000,INDIA,IP,100,1.41,0.141,Tender
6-Apr-21,1,2021,Sales Team,MEROPENEM,1000,INDIA,IP,40,1.41,0.0564,Tender
